sku_id,week,units_sold,price,promo_flag
1,1,51,0.72,0
1,2,41,0.7,0
1,3,47,0.69,0
1,4,50,0.68,0
1,5,72,0.68,0
1,6,61,0.66,0
1,7,49,0.69,0
1,8,37,0.72,0
1,9,54,0.69,0
1,10,42,0.67,0
1,11,43,0.71,0
1,12,51,0.69,0
1,13,49,0.68,0
1,14,128,0.66,0
1,15,52,0.78,0
1,16,50,0.71,0
1,17,49,0.75,0
1,18,49,0.59,0
1,19,44,0.76,0
1,20,73,0.76,0
1,21,53,0.69,0
1,22,48,0.66,0
1,23,52,0.66,0
1,24,47,0.68,0
1,25,47,0.71,0
1,26,48,0.69,0
1,27,48,0.69,0
1,28,41,0.73,0
1,29,35,0.7,0
1,30,50,0.73,0
1,31,45,0.68,0
1,32,44,0.66,0
1,33,52,0.68,0
1,34,50,0.54,1
1,35,97,0.66,0
1,36,42,0.66,0
1,37,41,0.69,0
1,38,79,0.56,1
1,39,52,0.53,1
1,40,46,0.65,0
1,41,38,0.73,0
1,42,131,0.66,0
1,43,43,0.7,0
1,44,78,0.68,0
2,1,42,0.67,0
2,2,45,0.68,0
2,3,46,0.72,0
2,4,44,0.62,0
2,5,68,0.71,0
2,6,55,0.71,0
2,7,54,0.7,0
2,8,46,0.66,0
2,9,52,0.73,0
2,10,46,0.7,0
2,11,47,0.67,0
2,12,47,0.68,0
2,13,54,0.71,0
2,14,129,0.72,0
2,15,45,0.7,0
2,16,58,0.62,0
2,17,46,0.65,0
2,18,46,0.7,0
2,19,50,0.69,0
2,20,67,0.69,0
2,21,49,0.61,1
2,22,45,0.7,0
2,23,45,0.71,0
2,24,44,0.72,0
2,25,40,0.67,0
2,26,44,0.74,0
2,27,64,0.65,0
2,28,49,0.72,0
2,29,37,0.69,0
2,30,51,0.68,0
2,31,53,0.57,1
2,32,43,0.69,0
2,33,46,0.67,0
2,34,43,0.68,0
2,35,81,0.64,0
2,36,42,0.68,0
2,37,39,0.68,0
2,38,54,0.71,0
2,39,51,0.68,0
2,40,42,0.66,0
2,41,39,0.73,0
2,42,98,0.68,0
2,43,37,0.63,0
2,44,64,0.59,1
3,1,41,0.67,0
3,2,44,0.52,1
3,3,31,0.67,0
3,4,39,0.69,0
3,5,46,0.72,0
3,6,50,0.7,0
3,7,51,0.66,0
3,8,43,0.67,0
3,9,45,0.71,0
3,10,38,0.72,0
3,11,32,0.73,0
3,12,43,0.73,0
3,13,43,0.65,0
3,14,107,0.72,0
3,15,40,0.68,0
3,16,37,0.68,0
3,17,44,0.65,0
3,18,38,0.67,0
3,19,54,0.53,1
3,20,55,0.69,0
3,21,41,0.56,1
3,22,41,0.68,0
3,23,31,0.68,0
3,24,45,0.58,1
3,25,39,0.69,0
3,26,37,0.71,0
3,27,34,0.75,0
3,28,44,0.68,0
3,29,39,0.66,0
3,30,33,0.65,0
3,31,35,0.58,1
3,32,30,0.7,0
3,33,37,0.77,0
3,34,40,0.76,0
3,35,79,0.65,0
3,36,43,0.64,0
3,37,33,0.75,0
3,38,50,0.68,0
3,39,30,0.72,0
3,40,34,0.69,0
3,41,33,0.73,0
3,42,75,0.67,0
3,43,34,0.61,0
3,44,62,0.7,0
4,1,45,0.72,0
4,2,44,0.71,0
4,3,43,0.69,0
4,4,43,0.63,0
4,5,55,0.66,0
4,6,49,0.69,0
4,7,51,0.69,0
4,8,40,0.68,0
4,9,50,0.63,0
4,10,40,0.72,0
4,11,48,0.56,1
4,12,50,0.54,1
4,13,40,0.69,0
4,14,130,0.66,0
4,15,47,0.59,0
4,16,45,0.67,0
4,17,44,0.72,0
4,18,43,0.7,0
4,19,49,0.7,0
4,20,62,0.63,0
4,21,43,0.67,0
4,22,47,0.67,0
4,23,42,0.68,0
4,24,42,0.66,0
4,25,51,0.64,0
4,26,37,0.73,0
4,27,45,0.72,0
4,28,39,0.69,0
4,29,47,0.74,0
4,30,42,0.71,0
4,31,35,0.69,0
4,32,38,0.7,0
4,33,42,0.69,0
4,34,44,0.57,1
4,35,80,0.68,0
4,36,35,0.68,0
